Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
256200,1.382258,-0.22352493,-1.1759088,0.0,1398.0
257600,1.3822551,-0.21939297,-1.2801677,0.0,1398.0
259000,1.3815045,-0.17048445,-1.4557409,0.0,1398.0
260400,1.3816398,-0.08218081,-1.840584,0.0,1398.0
261800,1.3812402,-0.06664323,-1.928844,2.0014000331575517,1303.0
263200,1.371736,-0.104551926,-1.6541499,0.0,1398.0
264600,1.3701549,-0.18023556,-1.1989121,0.0,1398.0
266000,1.3705775,-0.20631433,-1.135892,0.0,1398.0
267400,1.3704798,-0.13394138,-1.4903594,0.0,1398.0
268800,1.3705182,-0.2924596,-1.0427706,0.0,1398.0
270200,1.3707299,-0.12622702,-1.5432948,0.0,1398.0
271600,1.377814,-0.18135715,-1.2921283,0.0,1398.0
273000,1.3772898,-0.09203443,-1.6148331,0.0,1398.0
274400,1.3776226,-0.27041325,-1.0535688,0.0,1398.0
275800,1.378748,-0.1761221,-1.3507822,0.0,1398.0
277200,1.3787686,-0.06227877,-1.5318528,0.0,1398.0
278600,1.378308,-0.24036968,-1.1339514,0.0,1398.0
280000,1.3774502,-0.20808837,-1.135359,0.0,1398.0
281400,1.3773798,-0.031151682,-1.8338184,0.0,1398.0
282800,1.377347,-0.24437699,-1.1462276,0.0,1398.0
284200,1.3747029,-0.09215046,-1.5015267,0.0,1398.0
285600,1.3748082,0.10078606,-2.4305015,0.0,1398.0
287000,1.374777,-0.07642992,-1.5611469,0.0,1398.0
288400,1.3681829,0.08307478,-2.242066,0.0,1398.0
289800,1.3677359,-0.28622139,-1.196171,0.0,1398.0
291200,1.3675648,-0.038811363,-1.4826101,0.0,1398.0
292600,1.3643538,-0.040830363,-1.4034353,0.0,1398.0
294000,1.3643163,-0.1399816,-1.194376,0.0,1398.0
295400,1.364367,-0.010465451,-1.371556,0.0,1398.0
296800,1.3677222,-0.14924207,-1.3665373,0.0,1398.0
298200,1.3676646,0.028365728,-1.4823968,0.0,1398.0
299600,1.3677278,-0.046133712,-1.2898278,0.0,1398.0
301000,1.371053,-0.09799327,-1.2872427,0.0,1398.0
302400,1.3709939,-0.16450024,-1.1345139,0.0,1398.0
303800,1.3703039,-0.100182265,-1.1403084,0.0,1398.0
305200,1.3668294,0.18241997,-2.169523,1.0007000165787758,1181.0
306600,1.367046,0.019269262,-1.3224888,0.0,1398.0
308000,1.3669668,-0.09646475,-1.2619326,0.0,1398.0
309400,1.3665347,0.07394369,-1.4757864,0.0,1398.0
