Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
62500,1.3261825,-0.09881869,None,None,None
63000,1.336777,-0.10204638,-0.36549998784903437,1064.0,-0.36549999192357063
63500,1.3169028,-0.10765301,-0.48199998430209234,976.0,None
64000,1.3139366,-0.09509772,None,None,-0.4819999933242798
64500,1.3059953,-0.09538153,None,None,None
65000,1.304971,-0.0953241,None,None,None
65500,1.3163314,-0.09100403,-0.5734999810811132,1692.0,-0.5734999738633633
66000,1.286334,-0.09261478,None,None,None
66500,1.2930031,-0.08554817,-0.5574999818345532,1175.0,-0.5574999824166298
67000,1.2859128,-0.08783364,None,None,None
67500,1.2863581,-0.085366696,None,None,None
68000,1.2811036,-0.07700856,-0.4029999866033904,1332.0,-0.40299999341368675
68500,1.2672601,-0.06627275,None,None,None
69000,1.2670984,-0.06401354,None,None,None
69500,1.2773038,-0.072147116,-0.48949998390162364,1474.0,-0.4894999787211418
70000,1.2602963,-0.071468964,None,None,None
70500,1.2520381,-0.06884963,None,None,None
71000,1.2516245,-0.06067475,None,None,None
71500,1.2610956,-0.072932936,-0.4009999865083955,1761.0,-0.4009999868576415
72000,1.249439,-0.066195965,None,None,None
72500,1.2460107,-0.033195335,None,None,None
73000,1.2556062,-0.04469011,-0.5074999832431786,1685.0,-0.5074999742209911
73500,1.2467713,-0.04184596,None,None,None
74000,1.2469125,-0.06476576,None,None,None
74500,1.2469664,-0.06271682,None,None,None
75000,1.2477529,-0.04479311,None,None,None
75500,1.2551159,-0.05719117,-0.35949998756404966,2488.0,-0.35949999280273914
76000,1.2475542,-0.03397903,None,None,None
76500,1.2518455,-0.050584175,None,None,None
77000,1.2587466,-0.026068794,None,None,None
77500,1.2677556,-0.022227658,-0.41099998622667044,1759.0,-0.41099997889250517
78000,1.2577472,-0.01704979,None,None,None
78500,1.2620932,-0.024800159,None,None,None
79000,1.2657918,-0.019785682,None,None,None
79500,1.2729381,-0.03671924,-0.4104999862029217,2065.0,-0.41049999196548015
80000,1.2665013,-0.016246036,None,None,None
80500,1.2759508,-0.0043801307,None,None,None
81000,1.2939816,0.01293771,-0.4289999855682254,1873.0,-0.4289999920874834
81500,1.2852377,0.017529666,None,None,None
82000,1.2861074,0.024286747,None,None,None
82500,1.2894509,0.02439501,-0.49699998350115493,1689.0,None
83000,1.3037189,0.022598892,None,None,-0.49699997901916504
83500,1.2950066,0.031775698,None,None,None
84000,1.2963791,0.031356484,-0.4979999835486524,1385.0,None
84500,1.3034824,0.025501722,None,None,-0.4979999717324972
85000,1.2948632,0.031082276,None,None,None
85500,1.3040663,0.043133803,-0.508499983290676,1217.0,-0.50849998742342
86000,1.2952449,0.013374832,None,None,None
86500,1.2959616,0.037112735,None,None,None
87000,1.298317,0.027220875,-0.3454999884124845,1425.0,-0.34549998492002487
87500,1.2894666,0.03750746,None,None,None
88000,1.2960534,0.04522614,-0.4139999863691628,1147.0,-0.4139999970793724
88500,1.2902029,0.04226907,None,None,None
89000,1.2852868,0.042161487,None,None,None
89500,1.290184,0.026246905,-0.4619999848655425,1299.0,-0.4620000086724758
90000,1.2819456,0.042898197,None,None,None
90500,1.2828001,0.03484015,-0.44199998542899266,1462.0,None
91000,1.283159,0.036556356,None,None,-0.44199997931718826
91500,1.267387,0.006078843,None,None,None
92000,1.2743723,0.03387981,-0.3564999881782569,1221.0,-0.35649997740983963
92500,1.2681252,0.028952021,None,None,None
93000,1.2677021,0.02928856,None,None,None
93500,1.2657214,0.02899884,None,None,None
94000,1.2742157,0.017580874,-0.4659999842988327,1942.0,-0.4659999907016754
94500,1.2663968,0.02307733,None,None,None
95000,1.265034,0.025312226,None,None,None
95500,1.2704288,0.02314884,-0.3834999871905893,1441.0,-0.38349998742341995
96000,1.2588091,0.011868995,None,None,None
96500,1.2640471,0.013812388,-0.3469999884837307,1189.0,-0.34700000658631325
97000,1.2594985,0.014699004,None,None,None
97500,1.2562548,0.008969854,None,None,None
98000,1.2620704,0.002187746,-0.36499998782528564,1353.0,-0.36499999836087227
98500,1.2529821,0.0010473281,None,None,None
99000,1.2577103,0.0038960427,-0.38599998730933294,1143.0,-0.38599998876452446
