Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
3910,2.1958551,-0.096106224,-1.0,6.0,-1.0
3920,2.1959448,-0.09857246,-1.0,6.0,-1.0
3930,2.1960607,-0.11349795,-1.0,6.0,-1.0
3940,2.19588,-0.093970425,-1.0,6.0,-1.0
3950,2.1959057,-0.09331574,-1.0,6.0,-1.0
3960,2.195966,-0.09223032,-1.0,6.0,-1.0
3970,2.1960177,-0.106692635,-1.0,6.0,-1.0
3980,2.1960204,-0.101786256,-1.0,6.0,-1.0
3990,2.195885,-0.09288514,-1.0,6.0,-1.0
4000,2.1960058,-0.10689293,-1.0,6.0,-1.0
4010,2.1960711,-0.13492239,-1.0,6.0,-1.0
4020,2.1960182,-0.10044502,-1.0,6.0,-1.0
4030,2.195863,-0.09461239,-1.0,6.0,-1.0
4040,2.1959634,-0.17600039,-1.0,6.0,-1.0
4050,2.196052,-0.12385461,-1.0,6.0,-1.0
4060,2.195989,-0.108776346,-1.0,6.0,-1.0
4070,2.195966,-0.11255556,-1.0,6.0,-1.0
4080,2.1959836,-0.101250604,-1.0,6.0,-1.0
4090,2.196051,-0.11479952,-1.0,6.0,-1.0
4100,2.1959147,-0.10276896,-1.0,6.0,-1.0
4110,2.1958725,-0.09393928,-1.0,6.0,-1.0
4120,2.195934,-0.09855561,-1.0,6.0,-1.0
4130,2.1960235,-0.1041447,-1.0,6.0,-1.0
4140,2.1959145,-0.094738856,-1.0,6.0,-1.0
4150,2.1959267,-0.09473499,-1.0,6.0,-1.0
4160,2.1959736,-0.09983988,-1.0,6.0,-1.0
4170,2.1960647,-0.112160295,-1.0,6.0,-1.0
4180,2.1959758,-0.10394902,-1.0,6.0,-1.0
4190,2.1958961,-0.09045464,-1.0,6.0,-1.0
4200,2.1959586,-0.10090174,-1.0,6.0,-1.0
4210,2.1960466,-0.109926276,-1.0,6.0,-1.0
4220,2.195961,-0.09980934,-1.0,6.0,-1.0
4230,2.1959503,-0.09695688,-1.0,6.0,-1.0
4240,2.1959581,-0.1224091,-1.0,6.0,-1.0
4250,2.1960006,-0.17675744,-1.0,6.0,-1.0
4260,2.1960943,-0.13220534,-1.0,6.0,-1.0
4270,2.1958463,-0.08287864,-1.0,6.0,-1.0
4280,2.195951,-0.10413841,-1.0,6.0,-1.0
4290,2.1960452,-0.11100412,-1.0,6.0,-1.0
4300,2.1959932,-0.10115187,-1.0,6.0,-1.0
4310,2.1959233,-0.0955469,-1.0,6.0,-1.0
4320,2.1959522,-0.09930347,-1.0,6.0,-1.0
4330,2.1959698,-0.13313904,-1.0,6.0,-1.0
4340,2.196039,-0.13650554,-1.0,6.0,-1.0
4350,2.1959074,-0.09179742,-1.0,6.0,-1.0
4360,2.195924,-0.115910545,-1.0,6.0,-1.0
4370,2.1960208,-0.20355709,-1.0,6.0,-1.0
4380,2.1959715,-0.10476913,-1.0,6.0,-1.0
4390,2.1958911,-0.10341543,0.0,6.0,-1.0
4400,2.195955,-0.19081765,-1.0,6.0,1.0
